time_myr,space,bin,bin_spread,bin_count
5.5,H-R,6,0.3221059011385218,54
5.5,F070W-F200W,1,1.06264285714286,114
5.5,F070W-F200W,2,1.2016896551724159,118
5.5,F070W-F200W,3,1.4808648648648646,150
5.5,F070W-F200W,4,1.6607380952380968,171
5.5,F070W-F200W,5,1.6106000000000016,143
5.5,F070W-F200W,6,1.53125,193
5.5,F182M-F200W,1,0.540222222222221,75
5.5,F182M-F200W,2,0.5571500000000018,80
5.5,F182M-F200W,3,0.6049000000000007,122
5.5,F182M-F200W,4,0.5573846153846151,104
5.5,F182M-F200W,5,0.6934230769230751,106
5.5,F182M-F200W,6,0.8118947368421026,153
6.0,H-R,1,0.5333756449919571,260
6.0,H-R,2,0.4211258285717714,188
6.0,H-R,3,0.4254058524461748,133
6.0,H-R,4,0.3344892657639592,112
6.0,H-R,5,0.3605833940915929,128
6.0,H-R,6,0.3287424636202113,57
6.0,F070W-F200W,1,1.0794411764705885,136
6.0,F070W-F200W,2,1.391705882352941,136
6.0,F070W-F200W,3,1.4974999999999987,162
6.0,F070W-F200W,4,1.631893617021273,191
6.0,F070W-F200W,5,1.6138205128205136,159
6.0,F070W-F200W,6,1.5791960784313712,206
6.0,F182M-F200W,1,0.6686818181818168,91
6.0,F182M-F200W,2,0.6685714285714273,87
6.0,F182M-F200W,3,0.5746333333333364,121
6.0,F182M-F200W,4,0.552500000000002,114
6.0,F182M-F200W,5,0.6664285714285718,115
6.0,F182M-F200W,6,0.8494418604651184,174
6.5,H-R,1,0.555586369280191,301
6.5,H-R,2,0.4395045016589558,205
6.5,H-R,3,0.4486245758632418,154
6.5,H-R,4,0.36666229329443734,127
6.5,H-R,5,0.3489371435338453,133
6.5,H-R,6,0.37873511070518817,66
6.5,F070W-F200W,1,1.178447368421054,152
6.5,F070W-F200W,2,1.320729729729731,148
6.5,F070W-F200W,3,1.5632826086956513,186
6.5,F070W-F200W,4,1.6985384615384636,209
6.5,F070W-F200W,5,1.6763829787234048,188
6.5,F070W-F200W,6,1.6506363636363641,223
6.5,F182M-F200W,1,0.7197777777777787,110
6.5,F182M-F200W,2,0.690363636363637,91
6.5,F182M-F200W,3,0.6086999999999936,123
6.5,F182M-F200W,4,0.5708437500000016,131
6.5,F182M-F200W,5,0.6928235294117631,137
6.5,F182M-F200W,6,0.8655624999999993,195
7.0,H-R,1,0.5527153777235116,323
7.0,H-R,2,0.47420920045951975,222
7.0,H-R,3,0.4654359095724866,178
7.0,H-R,4,0.3903568087081609,142
7.0,H-R,5,0.3211893749382534,134
7.0,H-R,6,0.427213194469774,80
7.0,F070W-F200W,1,1.2775250000000025,161
7.0,F070W-F200W,2,1.3021463414634145,167
7.0,F070W-F200W,3,1.5610576923076902,208
7.0,F070W-F200W,4,1.7825272727272736,221
7.0,F070W-F200W,5,1.697051724137932,232
7.0,F070W-F200W,6,1.624321428571431,226
7.0,F182M-F200W,1,0.7657812499999999,129
7.0,F182M-F200W,2,0.6382000000000012,81
7.0,F182M-F200W,3,0.67324324324324,150
7.0,F182M-F200W,4,0.6255882352941171,136
7.0,F182M-F200W,5,0.6291351351351366,151
7.0,F182M-F200W,6,0.8577600000000061,202
7.5,H-R,1,0.5544716626534008,346
7.5,H-R,2,0.4543774870047934,247
7.5,H-R,3,0.4302087213840944,182
7.5,H-R,4,0.37589855471700884,158
7.5,H-R,5,0.3463713860010029,147
7.5,H-R,6,0.37708503935739224,79
7.5,F070W-F200W,1,1.1528139534883728,172
7.5,F070W-F200W,2,1.3670222222222215,183
7.5,F070W-F200W,3,1.5326666666666657,230
7.5,F070W-F200W,4,1.751631578947368,229
7.5,F070W-F200W,5,1.5182000000000002,240
7.5,F070W-F200W,6,1.6629365079365073,255
7.5,F182M-F200W,1,0.7019714285714276,141
7.5,F182M-F200W,2,0.7293500000000019,83
7.5,F182M-F200W,3,0.6591621621621648,148
7.5,F182M-F200W,4,0.5627222222222237,145
7.5,F182M-F200W,5,0.7185454545454562,176
7.5,F182M-F200W,6,0.8279200000000042,201
8.0,H-R,1,0.5090185270871836,364
8.0,H-R,2,0.40758686107188735,255
8.0,H-R,3,0.376492194992727,189
8.0,H-R,4,0.3191247475531548,159
8.0,H-R,5,0.2970081496826591,151
8.0,H-R,6,0.3076404610730048,74
8.0,F070W-F200W,1,1.05121739130435,185
8.0,F070W-F200W,2,1.2844489795918363,196
8.0,F070W-F200W,3,1.3504918032786861,245
8.0,F070W-F200W,4,1.461071428571426,227
8.0,F070W-F200W,5,1.3688813559322028,238
8.0,F070W-F200W,6,1.5311587301587295,252
8.0,F182M-F200W,1,0.6041000000000025,122
8.0,F182M-F200W,2,0.6298333333333321,98
8.0,F182M-F200W,3,0.5629411764705896,138
8.0,F182M-F200W,4,0.49628947368420917,152
8.0,F182M-F200W,5,0.6036222222222207,180
8.0,F182M-F200W,6,0.7539999999999996,200
8.5,H-R,1,0.4665111557032773,375
8.5,H-R,2,0.36705912506593963,257
8.5,H-R,3,0.3402560235642178,195
8.5,H-R,4,0.2784957432157308,169
8.5,H-R,5,0.265283432991236,149
8.5,H-R,6,0.25618006174593067,75
8.5,F070W-F200W,1,0.9389795918367358,198
8.5,F070W-F200W,2,1.2043061224489815,199
8.5,F070W-F200W,3,1.207396825396824,255
8.5,F070W-F200W,4,1.287983050847453,237
8.5,F070W-F200W,5,1.3251999999999988,243
8.5,F070W-F200W,6,1.3786666666666694,253
8.5,F182M-F200W,1,0.5601666666666638,121
8.5,F182M-F200W,2,0.5538399999999974,100
8.5,F182M-F200W,3,0.49153333333333293,122
8.5,F182M-F200W,4,0.49530952380952087,170
8.5,F182M-F200W,5,0.5588000000000015,183
8.5,F182M-F200W,6,0.7246666666666695,206
9.0,H-R,1,0.42937468263923373,379
9.0,H-R,2,0.3398287119149135,264
9.0,H-R,3,0.31157441043876677,195
9.0,H-R,4,0.2700952576510679,177
9.0,H-R,5,0.2407380972977473,150
9.0,H-R,6,0.22979313320339445,80
9.0,F070W-F200W,1,0.861735849056604,212
9.0,F070W-F200W,2,1.1082800000000006,202
9.0,F070W-F200W,3,1.0546000000000024,263
9.0,F070W-F200W,4,1.1613620689655146,233
9.0,F070W-F200W,5,1.2057656249999997,256
9.0,F070W-F200W,6,1.2222903225806494,248
9.0,F182M-F200W,1,0.5402666666666658,121
9.0,F182M-F200W,2,0.48233333333333306,99
9.0,F182M-F200W,3,0.5225517241379265,119
9.0,F182M-F200W,4,0.4690681818181801,176
9.0,F182M-F200W,5,0.5072444444444457,180
9.0,F182M-F200W,6,0.6886226415094363,215
9.5,H-R,1,0.39406378613206816,381
9.5,H-R,2,0.3184556156051419,268
9.5,H-R,3,0.29307142383952756,204
9.5,H-R,4,0.25312738795839906,183
9.5,H-R,5,0.2186490528677023,148
9.5,H-R,6,0.21872238891655738,82
9.5,F070W-F200W,1,0.8150000000000013,219
9.5,F070W-F200W,2,0.9875660377358493,213
9.5,F070W-F200W,3,1.0155781250000029,259
9.5,F070W-F200W,4,1.0248870967741972,251
9.5,F070W-F200W,5,1.0813064516129032,249
9.5,F070W-F200W,6,1.1649016393442597,245
9.5,F182M-F200W,1,0.49582758620689305,118
9.5,F182M-F200W,2,0.44756000000000284,100
9.5,F182M-F200W,3,0.5180740740740717,109
9.5,F182M-F200W,4,0.4579545454545464,178
9.5,F182M-F200W,5,0.5028333333333315,194
9.5,F182M-F200W,6,0.6499629629629631,216
10.0,H-R,1,0.3698709445485451,392
10.0,H-R,2,0.2894358924531184,260
10.0,H-R,3,0.28051784190970186,219
10.0,H-R,4,0.23317754599800988,192
10.0,H-R,5,0.21708461069431761,145
10.0,H-R,6,0.19743010211140688,82
10.0,F070W-F200W,1,0.7656909090909032,220
10.0,F070W-F200W,2,0.9112592592592588,217
10.0,F070W-F200W,3,0.9396119402985068,268
10.0,F070W-F200W,4,0.9527419354838678,251
10.0,F070W-F200W,5,0.9277704918032779,247
10.0,F070W-F200W,6,1.0867301587301608,252
10.0,F182M-F200W,1,0.46720000000000184,122
10.0,F182M-F200W,2,0.42091666666666505,98
10.0,F182M-F200W,3,0.502846153846157,107
10.0,F182M-F200W,4,0.41784090909091276,177
10.0,F182M-F200W,5,0.4900588235294112,206
10.0,F182M-F200W,6,0.6085636363636375,221
10.5,H-R,1,0.3418520950157775,394
10.5,H-R,2,0.2640646730774796,265
10.5,H-R,3,0.265470800374797,226
10.5,H-R,4,0.2198316849447084,195
10.5,H-R,5,0.20270121148285225,147
10.5,H-R,6,0.184471183376261,83
10.5,F070W-F200W,1,0.7255818181818174,221
10.5,F070W-F200W,2,0.8564385964912304,229
10.5,F070W-F200W,3,0.8621384615384606,261
10.5,F070W-F200W,4,0.8839843749999989,257
10.5,F070W-F200W,5,0.8146666666666658,253
10.5,F070W-F200W,6,0.9990163934426217,246
10.5,F182M-F200W,1,0.43496666666666783,120
10.5,F182M-F200W,2,0.3771304347826092,94
10.5,F182M-F200W,3,0.4412142857142829,112
10.5,F182M-F200W,4,0.3589523809523829,170
10.5,F182M-F200W,5,0.48656603773584983,214
10.5,F182M-F200W,6,0.5912807017543855,228
11.0,H-R,1,0.3226456621864311,395
11.0,H-R,2,0.2504405707379074,268
11.0,H-R,3,0.25517540914770387,227
11.0,H-R,4,0.20943912621887195,201
11.0,H-R,5,0.18833061797121842,145
11.0,H-R,6,0.16886852845727707,83
11.0,F070W-F200W,1,0.692375000000002,224
11.0,F070W-F200W,2,0.8061500000000024,240
11.0,F070W-F200W,3,0.7840454545454527,264
11.0,F070W-F200W,4,0.8424374999999991,257
11.0,F070W-F200W,5,0.7246935483870978,250
11.0,F070W-F200W,6,0.9041833333333305,240
11.0,F182M-F200W,1,0.39042857142857024,115
11.0,F182M-F200W,2,0.34450000000000003,104
11.0,F182M-F200W,3,0.4149285714285682,112
11.0,F182M-F200W,4,0.34162499999999874,161
11.0,F182M-F200W,5,0.4753157894736848,230
11.0,F182M-F200W,6,0.5414561403508777,230
11.5,H-R,1,0.30928723031380567,397
11.5,H-R,2,0.23912298960405098,268
11.5,H-R,3,0.24665366464964888,231
11.5,H-R,4,0.2004015920952975,206
11.5,H-R,5,0.18262970516185073,146
11.5,H-R,6,0.15589269307730824,82
11.5,F070W-F200W,1,0.6735172413793098,232
11.5,F070W-F200W,2,0.7665245901639306,245
11.5,F070W-F200W,3,0.7367164179104506,268
11.5,F070W-F200W,4,0.7906393442622921,247
11.5,F070W-F200W,5,0.6782812500000013,259
11.5,F070W-F200W,6,0.8167894736842118,228
11.5,F182M-F200W,1,0.3783793103448261,116
11.5,F182M-F200W,2,0.30729166666666785,97
11.5,F182M-F200W,3,0.3772857142857102,112
11.5,F182M-F200W,4,0.3449999999999971,166
11.5,F182M-F200W,5,0.44989090909091267,222
11.5,F182M-F200W,6,0.522433333333332,243
12.0,H-R,1,0.29516611147412153,393
12.0,H-R,2,0.2333834535064443,274
12.0,H-R,3,0.2379940876260922,233
12.0,H-R,4,0.19694985686658373,210
12.0,H-R,5,0.17458085451086758,145
12.0,H-R,6,0.14749898174527099,84
12.0,F070W-F200W,1,0.6606779661016979,236
12.0,F070W-F200W,2,0.731885245901637,247
12.0,F070W-F200W,3,0.7058955223880599,270
12.0,F070W-F200W,4,0.7534000000000045,242
12.0,F070W-F200W,5,0.6366000000000014,262
12.0,F070W-F200W,6,0.7370545454545496,222
12.0,F182M-F200W,1,0.3460800000000024,103
12.0,F182M-F200W,2,0.3111153846153858,107
12.0,F182M-F200W,3,0.3758148148148184,109
12.0,F182M-F200W,4,0.3581951219512174,166
12.0,F182M-F200W,5,0.4485087719298235,230
12.0,F182M-F200W,6,0.5008666666666652,242
12.5,H-R,1,0.2830521164439199,390
12.5,H-R,2,0.22770422759581765,279
12.5,H-R,3,0.23087184590773346,233
12.5,H-R,4,0.18915521167649163,212
12.5,H-R,5,0.1704443437844343,148
12.5,H-R,6,0.14283067982132125,84
12.5,F070W-F200W,1,0.6503225806451614,249
12.5,F070W-F200W,2,0.6952833333333377,240
12.5,F070W-F200W,3,0.6646764705882386,275
12.5,F070W-F200W,4,0.7047333333333334,240
12.5,F070W-F200W,5,0.6080615384615395,262
12.5,F070W-F200W,6,0.648377358490567,214
12.5,F182M-F200W,1,0.34160000000000146,103
12.5,F182M-F200W,2,0.29430769230769194,107
12.5,F182M-F200W,3,0.36967857142856886,114
12.5,F182M-F200W,4,0.3511428571428574,169
12.5,F182M-F200W,5,0.44535714285714256,227
12.5,F182M-F200W,6,0.4981774193548407,248
13.0,H-R,1,0.2679190013287043,384
13.0,H-R,2,0.2171216985028359,285
13.0,H-R,3,0.22259730979223247,233
13.0,H-R,4,0.18447195873686506,216
13.0,H-R,5,0.16301368412755335,146
13.0,H-R,6,0.13517191998163702,84
13.0,F070W-F200W,1,0.6261967213114783,247
13.0,F070W-F200W,2,0.6550625000000032,256
13.0,F070W-F200W,3,0.6088030303030276,265
13.0,F070W-F200W,4,0.6498448275862092,235
13.0,F070W-F200W,5,0.5687076923076901,263
13.0,F070W-F200W,6,0.5816153846153824,209
13.0,F182M-F200W,1,0.3266399999999994,101
13.0,F182M-F200W,2,0.28603999999999985,102
13.0,F182M-F200W,3,0.3375862068965496,117
13.0,F182M-F200W,4,0.35019047619047505,171
13.0,F182M-F200W,5,0.4591034482758616,232
13.0,F182M-F200W,6,0.49477419354838403,249
13.5,H-R,1,0.2578928698597289,385
13.5,H-R,2,0.208277850766317,284
13.5,H-R,3,0.21850559246785362,237
13.5,H-R,4,0.1806514666927479,218
13.5,H-R,5,0.1664083376237251,152
13.5,H-R,6,0.13410501641652584,79
13.5,F070W-F200W,1,0.5954262295081971,244
13.5,F070W-F200W,2,0.659523076923076,261
13.5,F070W-F200W,3,0.578061538461542,263
13.5,F070W-F200W,4,0.6021929824561401,228
13.5,F070W-F200W,5,0.5427878787878786,266
13.5,F070W-F200W,6,0.5442199999999975,201
13.5,F182M-F200W,1,0.31270833333333314,97
13.5,F182M-F200W,2,0.28631999999999813,101
13.5,F182M-F200W,3,0.33196428571428527,113
13.5,F182M-F200W,4,0.3574444444444502,180
13.5,F182M-F200W,5,0.44305263157894714,231
13.5,F182M-F200W,6,0.4859523809523818,253
14.0,H-R,1,0.25241308114155014,384
14.0,H-R,2,0.20502756968698632,287
14.0,H-R,3,0.21519703569703763,236
14.0,H-R,4,0.17984919364474883,220
14.0,H-R,5,0.16584388891764723,153
14.0,H-R,6,0.13001993246474186,82
14.0,F070W-F200W,1,0.5821935483870959,248
14.0,F070W-F200W,2,0.6568769230769238,261
14.0,F070W-F200W,3,0.5766923076923067,262
14.0,F070W-F200W,4,0.5767500000000005,225
14.0,F070W-F200W,5,0.5180615384615379,260
14.0,F070W-F200W,6,0.5241020408163237,199
14.0,F182M-F200W,1,0.30295652173912835,93
14.0,F182M-F200W,2,0.29723076923076874,104
14.0,F182M-F200W,3,0.3095925925925922,111
14.0,F182M-F200W,4,0.36335555555555565,181
14.0,F182M-F200W,5,0.462245614035087,230
14.0,F182M-F200W,6,0.49806249999999963,258
14.5,H-R,1,0.24299168551840977,379
14.5,H-R,2,0.19456893751817206,288
14.5,H-R,3,0.21016312136799797,239
14.5,H-R,4,0.18088126762446688,225
14.5,H-R,5,0.16078261318250453,149
14.5,H-R,6,0.12315379179110619,85
14.5,F070W-F200W,1,0.5788387096774148,248
14.5,F070W-F200W,2,0.6438153846153849,260
14.5,F070W-F200W,3,0.5636307692307714,262
14.5,F070W-F200W,4,0.5331272727272722,220
14.5,F070W-F200W,5,0.49660937500000024,259
14.5,F070W-F200W,6,0.48667346938775324,197
14.5,F182M-F200W,1,0.29278260869565287,94
14.5,F182M-F200W,2,0.2742400000000007,101
14.5,F182M-F200W,3,0.30022222222222084,110
14.5,F182M-F200W,4,0.35884782608695964,184
14.5,F182M-F200W,5,0.44877586206897213,233
14.5,F182M-F200W,6,0.47482539682540015,253
15.0,H-R,1,0.23678598883818558,376
15.0,H-R,2,0.1869772818143709,285
15.0,H-R,3,0.20681603687219585,245
15.0,H-R,4,0.17906995649411783,227
15.0,H-R,5,0.1578441575650944,149
15.0,H-R,6,0.11810087003666736,85
15.0,F070W-F200W,1,0.5876093749999995,257
15.0,F070W-F200W,2,0.6079218750000006,256
15.0,F070W-F200W,3,0.537140625000001,257
15.0,F070W-F200W,4,0.5170370370370385,217
15.0,F070W-F200W,5,0.4803281249999998,259
15.0,F070W-F200W,6,0.46931249999999736,193
15.0,F182M-F200W,1,0.3350869565217387,94
15.0,F182M-F200W,2,0.2709199999999985,100
15.0,F182M-F200W,3,0.2736551724137968,117
15.0,F182M-F200W,4,0.33906666666666574,180
15.0,F182M-F200W,5,0.447203389830511,236
15.0,F182M-F200W,6,0.47001562500000205,256
15.5,H-R,1,0.23249273908408252,374
15.5,H-R,2,0.1846483161434065,285
15.5,H-R,3,0.203941221249619,246
15.5,H-R,4,0.17671326407062193,226
15.5,H-R,5,0.15541022366554302,151
15.5,H-R,6,0.1148693962175813,86
15.5,F070W-F200W,1,0.5734375000000007,259
15.5,F070W-F200W,2,0.5842968749999997,257
15.5,F070W-F200W,3,0.5208593749999988,258
15.5,F070W-F200W,4,0.48684615384614993,211
15.5,F070W-F200W,5,0.45882812500000014,257
15.5,F070W-F200W,6,0.45180851063829586,191
15.5,F182M-F200W,1,0.3101428571428624,87
15.5,F182M-F200W,2,0.2647600000000008,102
15.5,F182M-F200W,3,0.2601785714285718,115
15.5,F182M-F200W,4,0.33495555555555256,181
15.5,F182M-F200W,5,0.443711864406783,239
15.5,F182M-F200W,6,0.46879999999999633,261
16.0,H-R,1,0.2240882553798791,370
16.0,H-R,2,0.18113077664041066,288
16.0,H-R,3,0.19993845883757655,245
16.0,H-R,4,0.17236726453745121,226
16.0,H-R,5,0.1485879697530339,152
16.0,H-R,6,0.10987907357688331,86
16.0,F070W-F200W,1,0.5766718750000006,259
16.0,F070W-F200W,2,0.5608064516129083,249
16.0,F070W-F200W,3,0.5122769230769215,260
16.0,F070W-F200W,4,0.4608627450980407,205
16.0,F070W-F200W,5,0.44246874999999974,256
16.0,F070W-F200W,6,0.4355416666666656,192
16.0,F182M-F200W,1,0.3012380952380944,85
16.0,F182M-F200W,2,0.25420000000000087,103
16.0,F182M-F200W,3,0.2538965517241376,116
16.0,F182M-F200W,4,0.3358085106382962,191
16.0,F182M-F200W,5,0.4118571428571425,227
16.0,F182M-F200W,6,0.46746969696969565,264
16.5,H-R,1,0.22112393811061648,369
16.5,H-R,2,0.1769586663892042,287
16.5,H-R,3,0.19445748253702622,242
16.5,H-R,4,0.1725075954427382,226
16.5,H-R,5,0.14988113685287163,158
16.5,H-R,6,0.10428813940087611,89
16.5,F070W-F200W,1,0.5763906250000019,258
16.5,F070W-F200W,2,0.5549838709677388,250
16.5,F070W-F200W,3,0.5080461538461538,261
16.5,F070W-F200W,4,0.4393799999999999,202
16.5,F070W-F200W,5,0.43698412698412525,255
16.5,F070W-F200W,6,0.42610638297871795,189
16.5,F182M-F200W,1,0.3171818181818171,91
16.5,F182M-F200W,2,0.24237499999999912,99
16.5,F182M-F200W,3,0.2509666666666668,122
16.5,F182M-F200W,4,0.32391489361701886,188
16.5,F182M-F200W,5,0.43000000000000327,242
16.5,F182M-F200W,6,0.44337096774193974,251
17.0,H-R,1,0.21950492509146513,367
17.0,H-R,2,0.1752920382317973,288
17.0,H-R,3,0.19214229560348395,243
17.0,H-R,4,0.1693356442612628,223
17.0,H-R,5,0.14717362546801183,161
17.0,H-R,6,0.10167966443183718,91
17.0,F070W-F200W,1,0.5835468750000015,256
17.0,F070W-F200W,2,0.5423064516129052,250
17.0,F070W-F200W,3,0.4912698412698404,255
17.0,F070W-F200W,4,0.42327450980392456,206
17.0,F070W-F200W,5,0.4140483870967735,251
17.0,F070W-F200W,6,0.4041914893617058,188
17.0,F182M-F200W,1,0.3077142857142814,85
17.0,F182M-F200W,2,0.24425000000000097,99
17.0,F182M-F200W,3,0.2508333333333326,123
17.0,F182M-F200W,4,0.3204347826086913,185
17.0,F182M-F200W,5,0.4239672131147536,244
17.0,F182M-F200W,6,0.44233333333333213,253
17.5,H-R,1,0.21278928259893237,364
17.5,H-R,2,0.17262465445103214,289
17.5,H-R,3,0.18745326243334026,244
17.5,H-R,4,0.16442020423212567,222
