density,epsilon_ff,seed,time_myr,space,bin,bin_spread,bin_count
0.1,0.01,00,2.5,F070W-F200W,4,1.321454545454543,46
0.1,0.01,00,2.5,F070W-F200W,5,1.338000000000001,43
0.1,0.01,00,2.5,F070W-F200W,6,1.0793333333333308,48
0.1,0.01,00,3.0,H-R,1,0.4372980238209778,71
0.1,0.01,00,3.0,H-R,2,0.43295874856199357,45
0.1,0.01,00,3.0,H-R,3,0.4394281084123781,42
0.1,0.01,00,3.0,H-R,4,0.36219351612797246,38
0.1,0.01,00,3.0,H-R,5,0.3512433402333381,31
0.1,0.01,00,3.0,H-R,6,0.38383557267709506,15
0.1,0.01,00,3.0,F070W-F200W,1,1.2454,21
0.1,0.01,00,3.0,F070W-F200W,2,1.2125000000000021,35
0.1,0.01,00,3.0,F070W-F200W,3,1.512777777777778,36
0.1,0.01,00,3.0,F070W-F200W,4,1.6098666666666706,61
0.1,0.01,00,3.0,F070W-F200W,5,1.5185714285714287,56
0.1,0.01,00,3.0,F070W-F200W,6,1.3072499999999998,50
0.1,0.01,00,3.5,H-R,1,0.4927056395812639,76
0.1,0.01,00,3.5,H-R,2,0.46301151288622,54
0.1,0.01,00,3.5,H-R,3,0.43331490884484825,38
0.1,0.01,00,3.5,H-R,4,0.3990383021170848,50
0.1,0.01,00,3.5,H-R,5,0.3894505354947293,34
0.1,0.01,00,3.5,H-R,6,0.3881418073087082,16
0.1,0.01,00,3.5,F070W-F200W,1,1.2478333333333342,24
0.1,0.01,00,3.5,F070W-F200W,2,1.3559999999999999,39
0.1,0.01,00,3.5,F070W-F200W,3,1.6211538461538453,53
0.1,0.01,00,3.5,F070W-F200W,4,1.7340000000000035,60
0.1,0.01,00,3.5,F070W-F200W,5,1.60478571428572,59
0.1,0.01,00,3.5,F070W-F200W,6,1.415928571428573,56
0.1,0.01,00,4.0,H-R,1,0.547847611631756,90
0.1,0.01,00,4.0,H-R,2,0.45459641202146617,62
0.1,0.01,00,4.0,H-R,3,0.44304794035464745,42
0.1,0.01,00,4.0,H-R,4,0.43119163760833457,53
0.1,0.01,00,4.0,H-R,5,0.39314334404186246,37
0.1,0.01,00,4.0,H-R,6,0.39549639779685714,14
0.1,0.01,00,4.0,F070W-F200W,1,1.0398571428571426,30
0.1,0.01,00,4.0,F070W-F200W,2,1.3737777777777769,37
0.1,0.01,00,4.0,F070W-F200W,3,1.6523125000000007,64
0.1,0.01,00,4.0,F070W-F200W,4,1.861625,67
0.1,0.01,00,4.0,F070W-F200W,5,1.7499374999999997,64
0.1,0.01,00,4.0,F070W-F200W,6,1.4086111111111101,73
0.1,0.01,00,4.5,H-R,1,0.5358320818791906,100
0.1,0.01,00,4.5,H-R,2,0.4460607916391994,68
0.1,0.01,00,4.5,H-R,3,0.4599210872274435,49
0.1,0.01,00,4.5,H-R,4,0.42114277989307813,59
0.1,0.01,00,4.5,H-R,5,0.42015375055097676,37
0.1,0.01,00,4.5,H-R,6,0.39736903503919935,14
0.1,0.01,00,4.5,F070W-F200W,1,0.9873333333333338,36
0.1,0.01,00,4.5,F070W-F200W,2,1.4632000000000005,43
0.1,0.01,00,4.5,F070W-F200W,3,1.6689000000000007,81
0.1,0.01,00,4.5,F070W-F200W,4,1.5737500000000004,64
0.1,0.01,00,4.5,F070W-F200W,5,1.8226250000000004,66
0.1,0.01,00,4.5,F070W-F200W,6,1.4050999999999991,83
0.1,0.01,00,5.0,H-R,1,0.4996352323812556,114
0.1,0.01,00,5.0,H-R,2,0.45061043523111666,70
0.1,0.01,00,5.0,H-R,3,0.5581912477687008,67
0.1,0.01,00,5.0,H-R,4,0.3900547700700291,59
0.1,0.01,00,5.0,H-R,5,0.45716469326761,39
0.1,0.01,00,5.0,H-R,6,0.45276465050570697,14
0.1,0.01,00,5.0,F070W-F200W,1,1.118090909090908,46
0.1,0.01,00,5.0,F070W-F200W,2,1.430076923076923,52
0.1,0.01,00,5.0,F070W-F200W,3,1.6880000000000006,79
0.1,0.01,00,5.0,F070W-F200W,4,1.8538499999999996,81
0.1,0.01,00,5.0,F070W-F200W,5,1.866882352941177,71
0.1,0.01,00,5.0,F070W-F200W,6,1.411095238095239,86
0.1,0.01,00,5.5,H-R,1,0.4963595410536834,123
0.1,0.01,00,5.5,H-R,2,0.4454634044169816,80
0.1,0.01,00,5.5,H-R,3,0.528664031241253,71
0.1,0.01,00,5.5,H-R,4,0.3422724932770458,61
0.1,0.01,00,5.5,H-R,5,0.4739383550694958,42
0.1,0.01,00,5.5,H-R,6,0.4398608635058847,19
0.1,0.01,00,5.5,F070W-F200W,1,1.3389285714285695,56
0.1,0.01,00,5.5,F070W-F200W,2,1.6105625000000003,66
0.1,0.01,00,5.5,F070W-F200W,3,1.6117368421052625,77
0.1,0.01,00,5.5,F070W-F200W,4,1.90804761904762,87
0.1,0.01,00,5.5,F070W-F200W,5,1.7374500000000008,80
0.1,0.01,00,5.5,F070W-F200W,6,1.5676190476190488,85
0.1,0.01,00,6.0,H-R,1,0.5093762139728666,135
0.1,0.01,00,6.0,H-R,2,0.4594896464103725,86
0.1,0.01,00,6.0,H-R,3,0.4892799849262415,74
0.1,0.01,00,6.0,H-R,4,0.3698303958464926,67
0.1,0.01,00,6.0,H-R,5,0.5221802520688384,45
0.1,0.01,00,6.0,H-R,6,0.47005652566702083,22
0.1,0.01,00,6.0,F070W-F200W,1,1.4201333333333341,63
0.1,0.01,00,6.0,F070W-F200W,2,1.804473684210528,78
0.1,0.01,00,6.0,F070W-F200W,3,1.69663157894737,77
0.1,0.01,00,6.0,F070W-F200W,4,1.7866363636363634,89
0.1,0.01,00,6.0,F070W-F200W,5,1.6213181818181805,89
0.1,0.01,00,6.0,F070W-F200W,6,1.7076363636363592,88
0.1,0.01,00,6.5,H-R,1,0.5483175739503807,147
0.1,0.01,00,6.5,H-R,2,0.511120721459246,93
0.1,0.01,00,6.5,H-R,3,0.5085896941033436,82
0.1,0.01,00,6.5,H-R,4,0.429361551810177,75
0.1,0.01,00,6.5,H-R,5,0.5478173044891546,46
0.1,0.01,00,6.5,H-R,6,0.4680750585950872,26
0.1,0.01,00,6.5,F070W-F200W,1,1.4851249999999965,67
0.1,0.01,00,6.5,F070W-F200W,2,1.695391304347826,92
0.1,0.01,00,6.5,F070W-F200W,3,1.916947368421054,78
0.1,0.01,00,6.5,F070W-F200W,4,1.9079166666666687,97
0.1,0.01,00,6.5,F070W-F200W,5,1.9284399999999984,101
0.1,0.01,00,6.5,F070W-F200W,6,1.8924782608695665,94
0.1,0.01,00,7.0,H-R,1,0.6218427129084962,162
0.1,0.01,00,7.0,H-R,2,0.5105341509330568,102
0.1,0.01,00,7.0,H-R,3,0.5737253802261028,90
0.1,0.01,00,7.0,H-R,4,0.4700966542316509,82
0.1,0.01,00,7.0,H-R,5,0.5472671224780008,48
0.1,0.01,00,7.0,H-R,6,0.47858697197635747,34
0.1,0.01,00,7.0,F070W-F200W,1,1.5262222222222217,74
0.1,0.01,00,7.0,F070W-F200W,2,1.58886956521739,94
0.1,0.01,00,7.0,F070W-F200W,3,2.0354782608695636,95
0.1,0.01,00,7.0,F070W-F200W,4,2.218346153846152,107
0.1,0.01,00,7.0,F070W-F200W,5,1.9433076923076928,104
0.1,0.01,00,7.0,F070W-F200W,6,2.2172608695652176,95
0.1,0.01,00,7.5,H-R,1,0.7078612718565014,174
0.1,0.01,00,7.5,H-R,2,0.5427630918590414,109
0.1,0.01,00,7.5,H-R,3,0.5831758716547627,95
0.1,0.01,00,7.5,H-R,4,0.47790738358293094,90
0.1,0.01,00,7.5,H-R,5,0.5306729116168215,48
0.1,0.01,00,7.5,H-R,6,0.4827391251757267,36
0.1,0.01,00,7.5,F070W-F200W,1,1.5901363636363612,88
0.1,0.01,00,7.5,F070W-F200W,2,1.2624782608695693,93
0.1,0.01,00,7.5,F070W-F200W,3,2.0150799999999975,102
0.1,0.01,00,7.5,F070W-F200W,4,2.421689655172413,118
0.1,0.01,00,7.5,F070W-F200W,5,2.1483214285714265,115
0.1,0.01,00,7.5,F070W-F200W,6,2.411086956521741,94
0.1,0.01,00,8.0,H-R,1,0.7164741129390826,183
0.1,0.01,00,8.0,H-R,2,0.6296694179747435,119
0.1,0.01,00,8.0,H-R,3,0.5654139692810874,97
0.1,0.01,00,8.0,H-R,4,0.4959938799545588,96
0.1,0.01,00,8.0,H-R,5,0.5352775901169599,51
0.1,0.01,00,8.0,H-R,6,0.45446425453658323,37
0.1,0.01,00,8.0,F070W-F200W,1,1.4575454545454534,91
0.1,0.01,00,8.0,F070W-F200W,2,1.6454400000000025,103
0.1,0.01,00,8.0,F070W-F200W,3,1.843666666666671,108
0.1,0.01,00,8.0,F070W-F200W,4,2.3143548387096793,127
0.1,0.01,00,8.0,F070W-F200W,5,2.3708965517241367,117
0.1,0.01,00,8.0,F070W-F200W,6,2.381400000000001,101
0.1,0.01,00,8.5,H-R,1,0.7407337264430678,194
0.1,0.01,00,8.5,H-R,2,0.6208745492180435,127
0.1,0.01,00,8.5,H-R,3,0.6577764848797625,108
0.1,0.01,00,8.5,H-R,4,0.4990684864740136,102
0.1,0.01,00,8.5,H-R,5,0.47525593570285374,53
0.1,0.01,00,8.5,H-R,6,0.474859558107232,34
0.1,0.01,00,8.5,F070W-F200W,1,1.4582000000000033,100
0.1,0.01,00,8.5,F070W-F200W,2,1.518119999999998,102
0.1,0.01,00,8.5,F070W-F200W,3,1.9848999999999979,122
0.1,0.01,00,8.5,F070W-F200W,4,2.375645161290322,127
0.1,0.01,00,8.5,F070W-F200W,5,2.547129032258063,125
0.1,0.01,00,8.5,F070W-F200W,6,2.3825714285714295,112
0.1,0.01,00,9.0,H-R,1,0.7073892400419874,205
0.1,0.01,00,9.0,H-R,2,0.5890867651992686,133
0.1,0.01,00,9.0,H-R,3,0.6420739954391832,113
0.1,0.01,00,9.0,H-R,4,0.4876257024689822,106
0.1,0.01,00,9.0,H-R,5,0.4959764800415123,58
0.1,0.01,00,9.0,H-R,6,0.49442810231972,39
0.1,0.01,00,9.0,F070W-F200W,1,1.4527777777777775,108
0.1,0.01,00,9.0,F070W-F200W,2,1.523518518518518,108
0.1,0.01,00,9.0,F070W-F200W,3,2.008787878787878,135
0.1,0.01,00,9.0,F070W-F200W,4,2.447285714285716,140
0.1,0.01,00,9.0,F070W-F200W,5,2.303903225806451,126
0.1,0.01,00,9.0,F070W-F200W,6,2.3963571428571413,113
0.1,0.01,00,9.5,H-R,1,0.7158701305289188,224
0.1,0.01,00,9.5,H-R,2,0.6145114172452149,139
0.1,0.01,00,9.5,H-R,3,0.6576577236939425,124
0.1,0.01,00,9.5,H-R,4,0.4984479527178388,114
0.1,0.01,00,9.5,H-R,5,0.49653947801221454,58
0.1,0.01,00,9.5,H-R,6,0.5739304540069512,45
0.1,0.01,00,9.5,F070W-F200W,1,1.5988666666666642,120
0.1,0.01,00,9.5,F070W-F200W,2,1.5347500000000025,113
0.1,0.01,00,9.5,F070W-F200W,3,1.9677941176470597,139
0.1,0.01,00,9.5,F070W-F200W,4,2.6339736842105257,155
0.1,0.01,00,9.5,F070W-F200W,5,2.2572812499999984,129
0.1,0.01,00,9.5,F070W-F200W,6,2.4033666666666633,123
0.1,0.01,00,10.0,H-R,1,0.7014660327393898,240
0.1,0.01,00,10.0,H-R,2,0.6142392804728878,147
0.1,0.01,00,10.0,H-R,3,0.6869146196084818,135
0.1,0.01,00,10.0,H-R,4,0.5358585880715304,118
0.1,0.01,00,10.0,H-R,5,0.5037093989002988,65
0.1,0.01,00,10.0,H-R,6,0.5670926988506259,44
0.1,0.01,00,10.0,F070W-F200W,1,1.504699999999998,122
0.1,0.01,00,10.0,F070W-F200W,2,1.634193548387099,124
0.1,0.01,00,10.0,F070W-F200W,3,1.995142857142854,141
0.1,0.01,00,10.0,F070W-F200W,4,2.7099512195121918,166
0.1,0.01,00,10.0,F070W-F200W,5,2.2967941176470585,137
0.1,0.01,00,10.0,F070W-F200W,6,2.3981818181818166,134
0.1,0.01,00,10.5,H-R,1,0.6976973470917713,256
0.1,0.01,00,10.5,H-R,2,0.6052816674312669,154
0.1,0.01,00,10.5,H-R,3,0.7090146357517966,147
0.1,0.01,00,10.5,H-R,4,0.5040539982148219,120
0.1,0.01,00,10.5,H-R,5,0.4967857126964971,68
0.1,0.01,00,10.5,H-R,6,0.5642882008611845,48
0.1,0.01,00,10.5,F070W-F200W,1,1.4458125000000006,130
0.1,0.01,00,10.5,F070W-F200W,2,1.4504062500000003,128
0.1,0.01,00,10.5,F070W-F200W,3,2.252891891891897,149
0.1,0.01,00,10.5,F070W-F200W,4,2.617674418604649,174
0.1,0.01,00,10.5,F070W-F200W,5,2.203605263157897,154
0.1,0.01,00,10.5,F070W-F200W,6,2.4077352941176464,136
0.1,0.01,00,11.0,H-R,1,0.6944583928162531,267
0.1,0.01,00,11.0,H-R,2,0.655332613727803,168
0.1,0.01,00,11.0,H-R,3,0.6866236026426323,149
0.1,0.01,00,11.0,H-R,4,0.4552033164018062,122
0.1,0.01,00,11.0,H-R,5,0.5389269319747645,70
0.1,0.01,00,11.0,H-R,6,0.49656155094613863,49
0.1,0.01,00,11.0,F070W-F200W,1,1.2961290322580634,127
0.1,0.01,00,11.0,F070W-F200W,2,1.7365882352941178,139
0.1,0.01,00,11.0,F070W-F200W,3,2.08613157894737,155
0.1,0.01,00,11.0,F070W-F200W,4,2.484956521739134,187
0.1,0.01,00,11.0,F070W-F200W,5,2.39044736842105,155
0.1,0.01,00,11.0,F070W-F200W,6,2.4128823529411765,139
0.1,0.01,00,11.5,H-R,1,0.7002739212551592,278
0.1,0.01,00,11.5,H-R,2,0.6557227481965953,185
0.1,0.01,00,11.5,H-R,3,0.676840012411857,150
0.1,0.01,00,11.5,H-R,4,0.47172805896628667,130
0.1,0.01,00,11.5,H-R,5,0.603835716735345,74
0.1,0.01,00,11.5,H-R,6,0.4780234673428151,52
0.1,0.01,00,11.5,F070W-F200W,1,1.3100000000000005,132
0.1,0.01,00,11.5,F070W-F200W,2,1.737114285714286,141
0.1,0.01,00,11.5,F070W-F200W,3,2.2457954545454584,176
0.1,0.01,00,11.5,F070W-F200W,4,2.350565217391308,184
0.1,0.01,00,11.5,F070W-F200W,5,2.5130697674418627,173
0.1,0.01,00,11.5,F070W-F200W,6,2.358727272727272,134
0.1,0.01,00,12.0,H-R,1,0.703166340080057,294
0.1,0.01,00,12.0,H-R,2,0.6768375476385948,189
0.1,0.01,00,12.0,H-R,3,0.6337902612134761,157
0.1,0.01,00,12.0,H-R,4,0.4660467243455789,135
0.1,0.01,00,12.0,H-R,5,0.5859876125202741,77
0.1,0.01,00,12.0,H-R,6,0.50093600261657,55
0.1,0.01,00,12.0,F070W-F200W,1,1.3609166666666663,145
0.1,0.01,00,12.0,F070W-F200W,2,1.741971428571432,142
0.1,0.01,00,12.0,F070W-F200W,3,2.1614888888888917,182
0.1,0.01,00,12.0,F070W-F200W,4,2.259851063829787,190
0.1,0.01,00,12.0,F070W-F200W,5,2.600195652173916,185
0.1,0.01,00,12.0,F070W-F200W,6,2.406342857142862,140
0.1,0.01,00,12.5,H-R,1,0.7016932321152278,304
0.1,0.01,00,12.5,H-R,2,0.7019950946330893,204
0.1,0.01,00,12.5,H-R,3,0.6407240922954254,165
0.1,0.01,00,12.5,H-R,4,0.4770863158606493,142
0.1,0.01,00,12.5,H-R,5,0.5960551495058207,87
0.1,0.01,00,12.5,H-R,6,0.6077878349597512,55
0.1,0.01,00,12.5,F070W-F200W,1,1.4247435897435938,157
0.1,0.01,00,12.5,F070W-F200W,2,2.059846153846152,159
0.1,0.01,00,12.5,F070W-F200W,3,1.9364680851063785,189
0.1,0.01,00,12.5,F070W-F200W,4,2.2937708333333333,195
0.1,0.01,00,12.5,F070W-F200W,5,2.679595744680853,190
0.1,0.01,00,12.5,F070W-F200W,6,2.483513513513513,151
0.1,0.01,00,13.0,H-R,1,0.7358663608971143,317
0.1,0.01,00,13.0,H-R,2,0.7028443655246341,211
0.1,0.01,00,13.0,H-R,3,0.6472349486709563,173
0.1,0.01,00,13.0,H-R,4,0.4373202534932641,143
0.1,0.01,00,13.0,H-R,5,0.6024336575829161,93
0.1,0.01,00,13.0,H-R,6,0.6137578294478767,60
0.1,0.01,00,13.0,F070W-F200W,1,1.6120476190476207,168
0.1,0.01,00,13.0,F070W-F200W,2,1.994804878048777,167
0.1,0.01,00,13.0,F070W-F200W,3,2.000836734693877,197
0.1,0.01,00,13.0,F070W-F200W,4,2.328999999999999,208
0.1,0.01,00,13.0,F070W-F200W,5,2.650400000000003,182
0.1,0.01,00,13.0,F070W-F200W,6,2.491073170731708,165
0.1,0.01,00,13.5,H-R,1,0.735632494157898,328
0.1,0.01,00,13.5,H-R,2,0.6947393365100929,214
0.1,0.01,00,13.5,H-R,3,0.6007581010263419,179
0.1,0.01,00,13.5,H-R,4,0.4164560772739311,147
0.1,0.01,00,13.5,H-R,5,0.5915010848188879,93
0.1,0.01,00,13.5,H-R,6,0.579393230623062,60
0.1,0.01,00,13.5,F070W-F200W,1,1.516926829268293,167
0.1,0.01,00,13.5,F070W-F200W,2,1.8742857142857154,170
0.1,0.01,00,13.5,F070W-F200W,3,1.9760199999999983,201
0.1,0.01,00,13.5,F070W-F200W,4,2.2200943396226407,215
0.1,0.01,00,13.5,F070W-F200W,5,2.7134222222222224,182
0.1,0.01,00,13.5,F070W-F200W,6,2.3678292682926845,165
0.1,0.01,00,14.0,H-R,1,0.7224952941079956,329
0.1,0.01,00,14.0,H-R,2,0.6976255365046595,226
0.1,0.01,00,14.0,H-R,3,0.579624764919973,192
0.1,0.01,00,14.0,H-R,4,0.4598936489446388,152
0.1,0.01,00,14.0,H-R,5,0.582409182653139,99
0.1,0.01,00,14.0,H-R,6,0.5497632585972433,57
0.1,0.01,00,14.0,F070W-F200W,1,1.4728888888888854,182
0.1,0.01,00,14.0,F070W-F200W,2,1.847348837209303,173
0.1,0.01,00,14.0,F070W-F200W,3,2.130807692307691,208
0.1,0.01,00,14.0,F070W-F200W,4,2.1896249999999977,226
0.1,0.01,00,14.0,F070W-F200W,5,2.654148936170209,190
0.1,0.01,00,14.0,F070W-F200W,6,2.257170731707319,166
0.1,0.01,00,14.5,H-R,1,0.6819949847910416,331
0.1,0.01,00,14.5,H-R,2,0.740728911054032,240
0.1,0.01,00,14.5,H-R,3,0.5609035883370821,203
0.1,0.01,00,14.5,H-R,4,0.5062889892968194,161
0.1,0.01,00,14.5,H-R,5,0.5413514070225441,98
0.1,0.01,00,14.5,H-R,6,0.5080285233406551,60
0.1,0.01,00,14.5,F070W-F200W,1,1.5218723404255314,188
0.1,0.01,00,14.5,F070W-F200W,2,1.7216888888888917,180
0.1,0.01,00,14.5,F070W-F200W,3,2.1001320754716986,214
0.1,0.01,00,14.5,F070W-F200W,4,2.1420892857142846,226
0.1,0.01,00,14.5,F070W-F200W,5,2.813919999999996,201
0.1,0.01,00,14.5,F070W-F200W,6,2.36035714285714,170
0.1,0.01,00,15.0,H-R,1,0.6885900586738858,342
0.1,0.01,00,15.0,H-R,2,0.7393158110878175,247
0.1,0.01,00,15.0,H-R,3,0.5887891652916277,212
0.1,0.01,00,15.0,H-R,4,0.5298016636071395,169
0.1,0.01,00,15.0,H-R,5,0.5549294147878605,102
0.1,0.01,00,15.0,H-R,6,0.5066411344555987,60
0.1,0.01,00,15.0,F070W-F200W,1,1.565312500000001,194
0.1,0.01,00,15.0,F070W-F200W,2,1.6160666666666632,181
0.1,0.01,00,15.0,F070W-F200W,3,2.1130526315789453,229
0.1,0.01,00,15.0,F070W-F200W,4,2.2826379310344844,235
0.1,0.01,00,15.0,F070W-F200W,5,2.8068399999999976,200
0.1,0.01,00,15.0,F070W-F200W,6,2.3685116279069796,173
0.1,0.01,00,15.5,H-R,1,0.6994108068943983,351
0.1,0.01,00,15.5,H-R,2,0.7645860223491643,263
0.1,0.01,00,15.5,H-R,3,0.5760695249248977,213
0.1,0.01,00,15.5,H-R,4,0.5484226995098331,177
0.1,0.01,00,15.5,H-R,5,0.5698882584202266,108
0.1,0.01,00,15.5,H-R,6,0.5281752527320867,62
0.1,0.01,00,15.5,F070W-F200W,1,1.6523673469387763,199
0.1,0.01,00,15.5,F070W-F200W,2,1.5932708333333299,192
0.1,0.01,00,15.5,F070W-F200W,3,2.089275862068968,233
0.1,0.01,00,15.5,F070W-F200W,4,2.4700645161290335,248
0.1,0.01,00,15.5,F070W-F200W,5,2.7103800000000007,202
0.1,0.01,00,15.5,F070W-F200W,6,2.523199999999999,183
0.1,0.01,00,16.0,H-R,1,0.730493849692823,366
0.1,0.01,00,16.0,H-R,2,0.7580166634252279,278
0.1,0.01,00,16.0,H-R,3,0.6065025305856576,218
0.1,0.01,00,16.0,H-R,4,0.5610548118785518,185
0.1,0.01,00,16.0,H-R,5,0.5525420182782075,110
0.1,0.01,00,16.0,H-R,6,0.5376062062145539,58
0.1,0.01,00,16.0,F070W-F200W,1,1.62528,200
0.1,0.01,00,16.0,F070W-F200W,2,1.6926078431372567,204
0.1,0.01,00,16.0,F070W-F200W,3,2.0329999999999995,236
0.1,0.01,00,16.0,F070W-F200W,4,2.581378787878789,264
0.1,0.01,00,16.0,F070W-F200W,5,2.6513877551020393,199
0.1,0.01,00,16.0,F070W-F200W,6,2.645304347826084,185
0.1,0.01,00,16.5,H-R,1,0.7443116617584873,374
0.1,0.01,00,16.5,H-R,2,0.7249044857267495,289
0.1,0.01,00,16.5,H-R,3,0.6043138426374177,220
0.1,0.01,00,16.5,H-R,4,0.5256555579028671,190
0.1,0.01,00,16.5,H-R,5,0.5159886674524427,115
0.1,0.01,00,16.5,H-R,6,0.5948201186188048,60
0.1,0.01,00,16.5,F070W-F200W,1,1.6084313725490205,207
0.1,0.01,00,16.5,F070W-F200W,2,1.8028867924528296,212
0.1,0.01,00,16.5,F070W-F200W,3,1.9573064516129026,248
0.1,0.01,00,16.5,F070W-F200W,4,2.457970149253727,268
0.1,0.01,00,16.5,F070W-F200W,5,2.650979591836739,199
0.1,0.01,00,16.5,F070W-F200W,6,2.6955434782608716,187
0.1,0.01,00,17.0,H-R,1,0.7501759103322019,386
0.1,0.01,00,17.0,H-R,2,0.7115110975386674,298
0.1,0.01,00,17.0,H-R,3,0.6116145805273612,227
0.1,0.01,00,17.0,H-R,4,0.5147503609440118,196
0.1,0.01,00,17.0,H-R,5,0.5301496388024414,115
0.1,0.01,00,17.0,H-R,6,0.650977561934021,70
0.1,0.01,00,17.0,F070W-F200W,1,1.726396226415094,215
0.1,0.01,00,17.0,F070W-F200W,2,1.7754821428571432,226
0.1,0.01,00,17.0,F070W-F200W,3,2.0980000000000008,255
0.1,0.01,00,17.0,F070W-F200W,4,2.396166666666666,266
0.1,0.01,00,17.0,F070W-F200W,5,2.6961764705882363,207
0.1,0.01,00,17.0,F070W-F200W,6,2.6399374999999985,195
0.1,0.01,00,17.5,H-R,1,0.7607058039712464,392
0.1,0.01,00,17.5,H-R,2,0.7032065980652518,309
0.1,0.01,00,17.5,H-R,3,0.5999747740332959,230
0.1,0.01,00,17.5,H-R,4,0.515924557982855,205
0.1,0.01,00,17.5,H-R,5,0.565123603362582,119
0.1,0.01,00,17.5,H-R,6,0.634443843301303,73
0.1,0.01,00,17.5,F070W-F200W,1,1.7021636363636343,221
0.1,0.01,00,17.5,F070W-F200W,2,1.815947368421055,228
0.1,0.01,00,17.5,F070W-F200W,3,2.1470149253731368,269
0.1,0.01,00,17.5,F070W-F200W,4,2.253388059701491,268
0.1,0.01,00,17.5,F070W-F200W,5,2.7812222222222207,217
0.1,0.01,00,17.5,F070W-F200W,6,2.631795918367345,199
0.1,0.01,00,18.0,H-R,1,0.7236590516767045,400
0.1,0.01,00,18.0,H-R,2,0.6785130169736246,312
0.1,0.01,00,18.0,H-R,3,0.5447691075619014,230
0.1,0.01,00,18.0,H-R,4,0.5027857774887431,208
0.1,0.01,00,18.0,H-R,5,0.5156599516697165,118
0.1,0.01,00,18.0,H-R,6,0.5928059422912818,75
0.1,0.01,00,18.0,F070W-F200W,1,1.6357272727272711,221
0.1,0.01,00,18.0,F070W-F200W,2,1.8146440677966034,236
0.1,0.01,00,18.0,F070W-F200W,3,1.9538695652173885,279
0.1,0.01,00,18.0,F070W-F200W,4,2.2448307692307683,263
0.1,0.01,00,18.0,F070W-F200W,5,2.5008113207547176,212
0.1,0.01,00,18.0,F070W-F200W,6,2.5180816326530593,199
0.1,0.01,00,18.5,H-R,1,0.6796779683589009,405
0.1,0.01,00,18.5,H-R,2,0.6338110011116804,313
0.1,0.01,00,18.5,H-R,3,0.5021504488407591,236
0.1,0.01,00,18.5,H-R,4,0.46096296466647435,208
0.1,0.01,00,18.5,H-R,5,0.48183756910261766,121
0.1,0.01,00,18.5,H-R,6,0.5067170273709637,75
