density,epsilon_ff,seed,time_myr,snapshot_available,n_interpolated_stars
0.1,0.3,00,11.0,True,2512
0.1,0.3,00,11.5,True,2512
0.1,0.3,00,12.0,True,2512
0.1,0.3,00,12.5,True,2511
0.1,0.3,00,13.0,True,2511
0.1,0.3,00,13.5,True,2509
0.1,0.3,00,14.0,True,2508
0.1,0.3,00,14.5,True,2508
0.1,0.3,00,15.0,True,2508
0.1,0.3,00,15.5,True,2509
0.1,0.3,00,16.0,True,2508
0.1,0.3,00,16.5,True,2506
0.1,0.3,00,17.0,True,2507
0.1,0.3,00,17.5,True,2507
0.1,0.3,00,18.0,True,2508
0.1,0.3,00,18.5,True,2506
0.1,0.3,00,19.0,True,2507
0.1,0.3,00,19.5,True,2509
0.1,0.3,00,20.0,True,2380
0.1,1.0,00,1.0,True,2374
0.1,1.0,00,1.5,True,2380
0.1,1.0,00,2.0,True,2381
0.1,1.0,00,2.5,True,2387
0.1,1.0,00,3.0,True,2389
0.1,1.0,00,3.5,True,2389
0.1,1.0,00,4.0,True,2395
0.1,1.0,00,4.5,True,2393
0.1,1.0,00,5.0,True,2395
0.1,1.0,00,5.5,True,2395
0.1,1.0,00,6.0,True,2394
0.1,1.0,00,6.5,True,2395
0.1,1.0,00,7.0,True,2394
0.1,1.0,00,7.5,True,2393
0.1,1.0,00,8.0,True,2393
0.1,1.0,00,8.5,True,2393
0.1,1.0,00,9.0,True,2393
0.1,1.0,00,9.5,True,2394
0.1,1.0,00,10.0,True,2397
0.1,1.0,00,10.5,True,2395
0.1,1.0,00,11.0,True,2396
0.1,1.0,00,11.5,True,2396
0.1,1.0,00,12.0,True,2395
0.1,1.0,00,12.5,True,2396
0.1,1.0,00,13.0,True,2393
0.1,1.0,00,13.5,True,2394
0.1,1.0,00,14.0,True,2397
0.1,1.0,00,14.5,True,2393
0.1,1.0,00,15.0,True,2396
0.1,1.0,00,15.5,True,2394
0.1,1.0,00,16.0,True,2395
0.1,1.0,00,16.5,True,2396
0.1,1.0,00,17.0,True,2395
0.1,1.0,00,17.5,True,2395
0.1,1.0,00,18.0,True,2398
0.1,1.0,00,18.5,True,2398
0.1,1.0,00,19.0,True,2396
0.1,1.0,00,19.5,True,2395
0.1,1.0,00,20.0,True,2194
1.0,0.01,00,1.0,True,786
1.0,0.01,00,1.5,True,988
1.0,0.01,00,2.0,True,1258
1.0,0.01,00,2.5,True,1614
1.0,0.01,00,3.0,True,2001
1.0,0.01,00,3.5,True,2339
1.0,0.01,00,4.0,True,2340
1.0,0.01,00,4.5,True,2344
1.0,0.01,00,5.0,True,2346
1.0,0.01,00,5.5,True,2348
1.0,0.01,00,6.0,True,2341
1.0,0.01,00,6.5,True,2341
1.0,0.01,00,7.0,True,2340
1.0,0.01,00,7.5,True,2342
1.0,0.01,00,8.0,True,2340
1.0,0.01,00,8.5,True,2344
1.0,0.01,00,9.0,True,2342
1.0,0.01,00,9.5,True,2343
1.0,0.01,00,10.0,True,2342
1.0,0.01,00,10.5,True,2339
1.0,0.01,00,11.0,True,2340
1.0,0.01,00,11.5,True,2338
1.0,0.01,00,12.0,True,2341
1.0,0.01,00,12.5,True,2341
1.0,0.01,00,13.0,True,2340
1.0,0.01,00,13.5,True,2339
1.0,0.01,00,14.0,True,2337
1.0,0.01,00,14.5,True,2339
1.0,0.01,00,15.0,True,2339
1.0,0.01,00,15.5,True,2340
1.0,0.01,00,16.0,True,2342
1.0,0.01,00,16.5,True,2343
1.0,0.01,00,17.0,True,2342
1.0,0.01,00,17.5,True,2342
1.0,0.01,00,18.0,True,2341
1.0,0.01,00,18.5,True,2341
1.0,0.01,00,19.0,True,2341
1.0,0.01,00,19.5,True,2340
1.0,0.01,00,20.0,True,2340
1.0,0.03,00,1.0,True,2436
1.0,0.03,00,1.5,True,2759
1.0,0.03,00,2.0,True,2776
1.0,0.03,00,2.5,True,2782
1.0,0.03,00,3.0,True,2785
1.0,0.03,00,3.5,True,2786
1.0,0.03,00,4.0,True,2787
1.0,0.03,00,4.5,True,2791
1.0,0.03,00,5.0,True,2792
1.0,0.03,00,5.5,True,2797
1.0,0.03,00,6.0,True,2796
1.0,0.03,00,6.5,True,2795
1.0,0.03,00,7.0,True,2797
1.0,0.03,00,7.5,True,2800
1.0,0.03,00,8.0,True,2800
1.0,0.03,00,8.5,True,2801
1.0,0.03,00,9.0,True,2800
1.0,0.03,00,9.5,True,2798
1.0,0.03,00,10.0,True,2797
1.0,0.03,00,10.5,True,2797
1.0,0.03,00,11.0,True,2797
1.0,0.03,00,11.5,True,2797
1.0,0.03,00,12.0,True,2796
1.0,0.03,00,12.5,True,2795
1.0,0.03,00,13.0,True,2797
1.0,0.03,00,13.5,True,2798
1.0,0.03,00,14.0,True,2798
1.0,0.03,00,14.5,True,2800
1.0,0.03,00,15.0,True,2799
1.0,0.03,00,15.5,True,2799
1.0,0.03,00,16.0,True,2800
1.0,0.03,00,16.5,True,2802
1.0,0.03,00,17.0,True,2801
1.0,0.03,00,17.5,True,2800
1.0,0.03,00,18.0,True,2800
1.0,0.03,00,18.5,True,2800
1.0,0.03,00,19.0,True,2799
1.0,0.03,00,19.5,True,2799
1.0,0.03,00,20.0,True,2660
1.0,0.1,00,1.0,True,2425
1.0,0.1,00,1.5,True,2430
1.0,0.1,00,2.0,True,2433
1.0,0.1,00,2.5,True,2436
1.0,0.1,00,3.0,True,2437
1.0,0.1,00,3.5,True,2439
1.0,0.1,00,4.0,True,2439
1.0,0.1,00,4.5,True,2441
1.0,0.1,00,5.0,True,2438
1.0,0.1,00,5.5,True,2437
1.0,0.1,00,6.0,True,2436
1.0,0.1,00,6.5,True,2436
1.0,0.1,00,7.0,True,2434
1.0,0.1,00,7.5,True,2436
1.0,0.1,00,8.0,True,2437
1.0,0.1,00,8.5,True,2435
1.0,0.1,00,9.0,True,2434
1.0,0.1,00,9.5,True,2434
1.0,0.1,00,10.0,True,2433
1.0,0.1,00,10.5,True,2434
1.0,0.1,00,11.0,True,2436
1.0,0.1,00,11.5,True,2438
1.0,0.1,00,12.0,True,2437
1.0,0.1,00,12.5,True,2436
1.0,0.1,00,13.0,True,2432
1.0,0.1,00,13.5,True,2430
1.0,0.1,00,14.0,True,2434
1.0,0.1,00,14.5,True,2431
1.0,0.1,00,15.0,True,2433
1.0,0.1,00,15.5,True,2431
1.0,0.1,00,16.0,True,2431
1.0,0.1,00,16.5,True,2436
1.0,0.1,00,17.0,True,2435
1.0,0.1,00,17.5,True,2431
1.0,0.1,00,18.0,True,2433
1.0,0.1,00,18.5,True,2433
1.0,0.1,00,19.0,True,2434
1.0,0.1,00,19.5,True,2432
1.0,0.1,00,20.0,True,2432
1.0,0.3,00,1.0,True,2429
1.0,0.3,00,1.5,True,2433
1.0,0.3,00,2.0,True,2437
1.0,0.3,00,2.5,True,2436
1.0,0.3,00,3.0,True,2441
1.0,0.3,00,3.5,True,2439
1.0,0.3,00,4.0,True,2441
1.0,0.3,00,4.5,True,2438
1.0,0.3,00,5.0,True,2440
1.0,0.3,00,5.5,True,2436
1.0,0.3,00,6.0,True,2438
1.0,0.3,00,6.5,True,2437
1.0,0.3,00,7.0,True,2437
1.0,0.3,00,7.5,True,2438
1.0,0.3,00,8.0,True,2441
1.0,0.3,00,8.5,True,2438
1.0,0.3,00,9.0,True,2439
1.0,0.3,00,9.5,True,2439
1.0,0.3,00,10.0,True,2440
1.0,0.3,00,10.5,True,2437
1.0,0.3,00,11.0,True,2438
1.0,0.3,00,11.5,True,2440
1.0,0.3,00,12.0,True,2440
1.0,0.3,00,12.5,True,2437
1.0,0.3,00,13.0,True,2436
1.0,0.3,00,13.5,True,2434
1.0,0.3,00,14.0,True,2433
1.0,0.3,00,14.5,True,2432
1.0,0.3,00,15.0,True,2432
1.0,0.3,00,15.5,True,2435
1.0,0.3,00,16.0,True,2436
1.0,0.3,00,16.5,True,2435
1.0,0.3,00,17.0,True,2436
1.0,0.3,00,17.5,True,2436
1.0,0.3,00,18.0,True,2435
1.0,0.3,00,18.5,True,2436
1.0,0.3,00,19.0,True,2438
1.0,0.3,00,19.5,True,2437
1.0,0.3,00,20.0,True,2436
1.0,1.0,00,1.0,True,2442
1.0,1.0,00,1.5,True,2456
1.0,1.0,00,2.0,True,2455
1.0,1.0,00,2.5,True,2460
1.0,1.0,00,3.0,True,2458
1.0,1.0,00,3.5,True,2459
1.0,1.0,00,4.0,True,2456
1.0,1.0,00,4.5,True,2456
1.0,1.0,00,5.0,True,2457
1.0,1.0,00,5.5,True,2452
1.0,1.0,00,6.0,True,2454
1.0,1.0,00,6.5,True,2453
1.0,1.0,00,7.0,True,2454
1.0,1.0,00,7.5,True,2452
1.0,1.0,00,8.0,True,2455
1.0,1.0,00,8.5,True,2452
1.0,1.0,00,9.0,True,2454
1.0,1.0,00,9.5,True,2452
1.0,1.0,00,10.0,True,2454
1.0,1.0,00,10.5,True,2454
1.0,1.0,00,11.0,True,2457
1.0,1.0,00,11.5,True,2455
1.0,1.0,00,12.0,True,2454
1.0,1.0,00,12.5,True,2454
1.0,1.0,00,13.0,True,2451
1.0,1.0,00,13.5,True,2450
1.0,1.0,00,14.0,True,2451
1.0,1.0,00,14.5,True,2449
1.0,1.0,00,15.0,True,2450
1.0,1.0,00,15.5,True,2449
1.0,1.0,00,16.0,True,2450
1.0,1.0,00,16.5,True,2451
1.0,1.0,00,17.0,True,2450
1.0,1.0,00,17.5,True,2451
1.0,1.0,00,18.0,True,2450
1.0,1.0,00,18.5,True,2448
1.0,1.0,00,19.0,True,2449
1.0,1.0,00,19.5,True,2449
1.0,1.0,00,20.0,True,2448
